Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 94.47   101.71    101.71        1 101710.00 101710.00  Thread#join
 94.47   203.42    101.71      128   794.61   794.61  Kernel#sleep
 94.47   305.13    101.71        2 50855.00 50855.00  TCPServer#accept
 94.47   406.84    101.71        1 101710.00 101710.00  IO.select
  3.12   410.20      3.36   110575     0.03     0.15  BinData::Struct#instantiate_obj_at
  2.51   412.90      2.70    68746     0.04     0.17  BinData::Struct#find_obj_for_name
  2.47   415.56      2.66    97108     0.03     0.03  Kernel#define_singleton_method
  2.28   418.01      2.45    49198     0.05     0.07  Kernel#dup
  2.27   420.45      2.44    66343     0.04     0.73  BinData::Struct#snapshot
  2.14   422.75      2.30    53887     0.04     2.36  Array#each
  2.06   424.97      2.22   171353     0.01     0.02  BinData::Base#has_parameter?
  2.05   427.18      2.21   100008     0.02     0.06  BinData::Struct#include_obj?
  1.99   429.32      2.14   195487     0.01     0.06  BasicObject#!=
  1.92   431.39      2.07    86182     0.02     0.03  BinData::SanitizedField#name_as_sym
  1.86   433.39      2.00    68746     0.03     0.04  BinData::Struct#base_field_name
  1.81   435.34      1.95   159615     0.01     0.09  BinData::BasePrimitive#_value
  1.77   437.25      1.91    61594     0.03     0.10  BinData::BasePrimitive#method_missing
  1.74   439.12      1.87   164637     0.01     0.09  BinData::BasePrimitive#snapshot
  1.63   440.87      1.75   176324     0.01     0.01  Fixnum#==
  1.47   442.45      1.58   221382     0.01     0.01  Kernel#respond_to?
  1.41   443.97      1.52    32275     0.05     0.15  BinData::Struct#define_field_accessors_for
  1.37   445.45      1.48    61979     0.02     0.04  Kernel#clone
  1.23   446.77      1.32    65379     0.02     0.03  BinData::Struct::Snapshot#[]=
  1.23   448.09      1.32    60065     0.02     0.25  BinData::Base#new
  1.05   449.22      1.13     8145     0.14     0.27  Pio::Mac#initialize
  1.02   450.32      1.10    23314     0.05     0.11  BinData::IO::Read#readbytes
  1.01   451.41      1.09    35925     0.03     0.39  Pio::OpenFlow10::Match::Wildcards#get
  0.99   452.48      1.07    99445     0.01     0.01  BinData::Base#get_parameter
  0.98   453.53      1.05    23216     0.05     0.21  BinData::BasePrimitive#assign
  0.96   454.56      1.03    81338     0.01     1.66  Class#new
  0.90   455.53      0.97    52008     0.02     0.20  BinData::Primitive#method_missing
  0.88   456.48      0.95     2162     0.44     3.41  Hash#inspect
  0.86   457.41      0.93    43174     0.02     0.33  BinData::Struct#define_field_accessors
  0.85   458.33      0.92    21520     0.04     0.13  IPAddr#_to_string
  0.85   459.24      0.91   383647     0.00     0.00  Kernel#nil?
  0.82   460.12      0.88    10321     0.09     0.14  BinData::BaseArgProcessor#separate_args
  0.77   460.95      0.83    61979     0.01     0.02  Kernel#initialize_clone
  0.72   461.73      0.78    27332     0.03     0.35  BinData::Base#eval_parameter
  0.72   462.50      0.77    17860     0.04     0.41  Array#collect
  0.71   463.26      0.76   363139     0.00     0.00  Array#[]
